Output Stocks,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2,2026Q3,2026Q4
Revenue,10625.0,10625.0,10625.0,16821.875,22886.20989926901,29194.214983561702,33851.666161504705,35109.35688556023
Revenue Defense,10000.0,10000.0,10000.0,10000.0,9340.0,8544.375,7698.226835607493,6829.429766847901
Revenue Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue Semiconductors,625.0,625.0,625.0,6821.874999999999,13018.749999999998,18773.188232012362,24262.557273213308,25482.951995563846
Revenue Aviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue Silicon Carbide Fiber,10000.0,10000.0,10000.0,10000.0,9416.382115833527,8743.559473533667,7984.251961203002,7281.887083514146
Revenue Silicon Carbide Powder,625.0,625.0,625.0,6821.874999999999,13469.827783435485,20450.655510028035,25867.414200301704,27827.469802046082
Revenue Silicon Nitride Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue UHT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue Boron_fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue B4C_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue WC_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anchor Leads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anchor Leads Defense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anchor Leads Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anchor Leads Semiconductors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anchor Leads Aviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Active Projects,0.0,0.0,0.0,1.0,3.0,3.0,3.0,5.0
Active Projects Defense,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0
Active Projects Nuclear,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Active Projects Semiconductors,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0
Active Projects Aviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anchor Clients,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0
Anchor Clients Defense,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Anchor Clients Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anchor Clients Semiconductors,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
Anchor Clients Aviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Leads,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Other Clients,0.0,0.0,3.0,9.0,12.0,18.0,21.0,27.0
Other Clients Silicon Carbide Fiber,0.0,0.0,1.0,3.0,4.0,6.0,7.0,9.0
Other Clients Silicon Carbide Powder,0.0,0.0,2.0,6.0,8.0,12.0,14.0,18.0
Other Clients Silicon Nitride Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Clients UHT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Clients Boron_fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Clients B4C_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Clients WC_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order Basket,350.0,402.5,700.0,727.0052000000001,767.280312,794.8456083200001,1035.7025122496002,1093.856562245824
Order Basket Silicon Carbide Fiber,150.0,172.5,300.0,309.0012,321.120072,330.36240192,342.7296480576,352.22424096134404
Order Basket Silicon Carbide Powder,200.0,229.99999999999997,400.0,418.004,446.16024,464.4832064000001,692.9728641920001,741.63232128448
Order Basket Silicon Nitride Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order Basket UHT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order Basket Boron_fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order Basket B4C_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order Basket WC_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order Delivery,2.5,2.5,2.5,14.893749999999999,28.11670333135016,42.01160428653654,52.76505446011347,56.60994118881533
Order Delivery Silicon Carbide Fiber,1.25,1.25,1.25,1.25,1.1770477644791908,1.1102932664804657,1.0302260595100647,0.9550015847231667
Order Delivery Silicon Carbide Powder,1.25,1.25,1.25,13.643749999999999,26.939655566870968,40.90131102005607,51.734828400603405,55.654939604092164
Order Delivery Silicon Nitride Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order Delivery UHT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order Delivery Boron_fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order Delivery B4C_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order Delivery WC_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
